claimID,balance,uin
5331965147,553437,BAJTIOP22122V022122
8903506789,302164,ICITIDP22087V032122
9227357645,768133,NAVHLIP22060V032122
5438108263,76210,BAJTIDP22128V022122
7669067854,237998,HDFHLGP21002V022122
6200130333,233388,KOTHMGP22115V022122
7979497162,683868,BAJHLGP22130V022122
6426275043,569424,BAJHLIP22024V032122
3937584967,448476,FGIHLGP22108V022122
3014531262,816570,BAJTIOP22122V022122
2952900744,175379,BAJTGDP22127V022122
8849584161,717217,KOTHLGP22099V042122
9269016033,765760,BAJHLIP22192V032122
7374609421,611407,SHAHLIP22036V042122
7143252199,661353,LIBTGDP22098V012122
4047673383,725982,HDFPAIP21624V012021
2467479367,492235,NBHHLIA22164V012122
6264412661,82307,NIAPAIP22003V012122 
8053613056,130578,CHOHLGA22186V012122
6159827926,928911,CHIHLIP22047V012122
7585599164,718314,HDFHLGP21002V022122
8870790762,618645,SHAHLIP22033V022122
1596199026,985894,BAJTIOP22122V022122
1577058435,816701,FGIHMGP22107V032122
2509081694,884555,FGIHLIP22013V022122
9588848748,954167,NBHHLIP22155V032122
3977765628,935565,ICIPAGP22077V062122
2945209431,41566,GODTGOA22173V012122
1849849191,159483,SHAHLIP22030V062122
4544684637,522564,NAVHLIP22059V032122
9841842267,223232,HDFHLIA22141V032122
7304408356,437158,SHAHLIP22036V042122
7723622454,935185,FGIHLGP22110V032122
3927836904,785063,SBIPAGP22182V012122
9414585552,264894,BAJHLGP22020V022122
8412320390,909710,CHIPAGP22044V012122
6590254237,796270,ICIPAIP22076V042122
6808916108,71394,ADIHLAP21589V012021
1235362645,113648,SHAHLIP22029V072122
8810420445,318431,SHAHLGP22147V022122
4629257981,972688,HDFHLIP21016V012122
9230705584,321959,NBHHLIA22175V012122
1650345330,538407,ICIHLIP22092V032122
4096781670,249490,HDFHLIP21016V012122
2145870667,662824,BAJHLGP22020V022122
8571375245,777497,BAJHLGA22166V012122
2157544945,877718,SHAHLIP22034V062122
5463244922,530824,HDFHLIP22193V072122
6314664640,911397,HDFHLGP21001V032122
5769395980,666794,CHOHLGP22025V012122
7221331997,219912,HDFHLIP21005V022122
2480698308,437851,HDFPAIP21624V012021
7426684529,726884,OICHLGP22026V012122
4570165424,83383,SHAHLIP22033V022122
