pharmacyID,medicineID,quantity,discount
3287,17648,1735,20
3287,44661,4390,10
3287,21182,648,0
3287,37339,6923,30
3287,26671,863,0
3287,39111,1477,30
3287,33683,9819,30
3287,37463,5309,0
3287,46295,4787,10
3287,22909,8332,0
3287,8103,3585,30
3287,2230,7865,20
3287,6600,6836,0
3287,39885,1234,10
3287,34223,8486,30
3287,4466,7047,30
3287,9440,8632,10
3287,13210,3489,0
3287,17530,7690,30
3287,23453,2051,10
3287,2747,4487,30
3287,18311,5746,20
3287,27173,6236,10
3287,46309,9048,10
3287,23293,2423,0
3287,36849,1759,0
3287,15577,1366,0
3287,36029,2838,0
3287,47995,9878,10
3287,26681,3748,10
3287,30007,169,0
3287,43941,4988,30
3287,15831,2744,10
3287,30029,4244,10
3287,48386,4725,10
3287,42251,2211,20
3287,42776,7874,10
3287,7725,3987,0
3287,41740,4396,30
3287,18609,3157,10
3287,4460,2201,30
3287,27992,8604,20
3287,46321,7263,0
3287,38420,2912,0
3287,132,8069,10
3287,26101,1415,0
3287,10371,550,30
3287,40956,7354,20
3287,29545,2315,30
3287,26569,5850,0
3287,17961,2059,30
3287,39593,6942,20
3287,39630,6332,10
3287,16080,7872,30
3287,48314,2842,30
3287,19337,3466,0
3287,17224,8429,10
3287,440,8519,20
3287,15567,2676,0
3287,15250,7546,30
3287,52835,817,10
3287,4212,3589,20
3287,47767,4982,30
3287,11502,3701,30
3287,25447,318,10
3287,1575,8851,10
3287,50132,3212,20
3287,2486,5239,20
3287,32976,1270,10
3287,28671,1117,0
3287,14374,6350,30
3287,7726,7949,0
3287,3804,8499,20
3287,30360,5176,20
3287,798,8682,20
3287,41550,4955,10
3287,50669,4222,20
3287,4212,2094,0
3287,46109,4542,20
3287,33063,4873,30
3287,45629,2687,10
3287,26274,3163,20
3287,37533,9831,30
3287,35864,5443,0
3287,414,6180,20
3287,9575,9171,30
3287,51241,9174,10
3287,21065,6892,10
3287,5685,273,30
3287,1683,2439,30
3287,27671,7433,30
3287,13733,8844,10
3287,36797,3242,20
3287,24431,4005,10
3287,33795,8772,30
3287,30983,7395,20
3287,51801,9508,10
3287,31541,8762,20
3287,6666,6337,10
3287,51607,4643,20
3287,18698,7388,10
3287,25821,9067,30
3287,20480,2978,20
3287,8917,4760,0
3287,33913,8126,0
3287,27452,1793,0
3287,36434,853,30
3287,49398,1952,10
3287,31685,1917,30
3287,35498,8330,0
3287,4292,5469,20
3287,25042,256,30
3287,18095,785,20
3287,50406,3066,0
3287,18617,253,10
3287,40578,8014,10
3287,16967,5236,10
3287,36214,5375,10
3287,6582,8506,30
3287,29615,183,0
