pharmacyID,pharmacyName,phone,addressID
3287,Ally Scripts,4778492927,931315
8184,Apotheco,5556620374,104908
8911,Assured Rx,2670596386,806713
4996,Banks Apothecary,3580304560,224943
3703,Bioplus Specialty,5188450853,805176
2209,Blink Health,6361476226,330238
5960,CareFirst,7574711778,436494
1624,Caremark,8758189403,927958
5866,Carepoint,8792418900,226790
5403,Confidential Drug,8663832055,210968
6717,DFW Wellness,6058331414,960116
8852,Envolve Health,8233605672,461415
9659,Express Scripts,6026150917,815772
1194,Foundation Care,9385550721,386954
1386,GenScripts,1857694729,818020
6728,GoGo Meds,3668754277,165528
3651,Good RX,9694016432,618917
8349,Grand Medicine,1579786159,130907
1755,Health Warehouse,2452556194,740413
2301,HealthDirect,7655039543,531383
9938,MedImpact,5023141394,562982
4891,Medisuite,5479293503,257098
6611,Medlife,8335740333,203592
3348,MedMinder,9812042848,895076
4137,MedOne,1038672643,324345
8897,MedSavvy,3669094022,370566
7357,MedShoppe,3930715592,810344
1008,MobiMeds,1163109914,285908
7865,OptumRx,3304749067,132465
1882,PersonalRX,1005738805,559331
2563,PharmaMed,3324157262,582965
3570,Pill Pack,7986289176,420160
1478,Pocketpills,6642484722,398251
6444,Postmeds,3315323687,851273
9255,PrecisionMed,6874892953,649156
2060,Prescription Hope,2908177641,697590
6914,Prescription Lifeline,6150716668,596944
8315,RefillWise,3466102260,559305
8142,RX Universal,6869686547,759064
2356,RxToMe,2612614410,625926
9239,ScriptSave,1445747279,170101
2449,Simple Meds,2283493727,315327
7454,The Pill Club,3237892358,464604
7887,The Rx Advocates,2635725735,899970
4663,Tru Script,5525997591,640506
5659,True Pill,9560968172,929045
7472,Absolute Care,9677868897,227402
5246,Better Life,1502174840,338405
4269,Cardinal Health,6634573400,980711
8549,Cash Saver Pharmacy,5873034863,932431
2836,Discount Drug Mart,1278519665,465877
2066,Drug Blend,8330775088,649349
1925,Everyday Drugs,7003117173,207681
3803,First Care Rx,8256160777,643921
6305,First Pharmacy,7328485427,947169
7435,Good Life Rx,1441762866,527315
9869,Health Aura,1939612533,327358
9580,Health Corner,7748631106,378630
5200,Heartland Pharmacy,3343109903,351130
4025,Keystone Pharmacy,9258612393,803285
3104,Louis And Clark Drug,3472571379,354011
2416,Max Health,8294280242,230444
3628,Midtown Express,4316734905,219284
5904,Neighborcare,5134755731,809451
9999,Planet Health,2731533215,285436
2906,Powerhouse Pharmacy,1037187964,150030
9405,Priority Pharmacy,9555442436,779395
1795,Pure Life,3574657582,362710
2847,Smart Pharmacy,6620501490,898018
1354,HealthMart,8185787219,630648
6863,Wellcare,9903220137,562718
3515,Wellport Drugs,7597465179,961674
8404,Atlas Drugs,1530528372,766474
9707,Better You,9940343242,424417
7759,Beyond Health,3019065980,853931
6576,Care Pharmacy,7170722976,216389
8933,Cashway Pharmacy,6488135592,824396
8760,Discount Drugs,4569768695,209297
6957,Express Food & Pharmacy,6274427514,159705
6840,First Hill Pharmacy,6041260236,482829
9296,Gem Drugs,4691353985,590551
5350,Health Element,3851336890,319312
3831,Health Mart,8775942027,837629
6971,Hearty Mart,3607245917,840009
4707,Lakeside Pharmacy,6908540935,398539
6004,Longhorn Pharmacy,3713858519,184200
8891,Neighbors,3607000847,587546
1248,New Era,3098572692,921540
5976,Pride Pharmacy,5044227630,405676
3303,Reliable Pharmacy,8144717957,735262
1584,Sunwest,2011896228,928704
1731,Thrifty Way Pharmacy,5118382508,693193
2821,Wellfresh,4596651698,350379
1891,Welltrack,6487576049,482257
6706,Acculife Drug Stores,7041870639,725349
9681,Be Well,8073865616,378109
4221,Below Drug,6323721583,190965
7985,Centrico,2784601947,296846
7085,Community Pharmacy,9813974136,365555
5644,Dakota Drug,6226855417,236623
5626,Doc Your Dose Pharmacy,8219004709,824437
7202,Essura Pharmacy,9432175852,413855
2822,Fisher Pharmacy & Gifts,4532563912,924966
6984,Gateway Medical,5075019874,725985
9969,Good Neighbor Pharmacy,6630747746,123806
2218,Heallergy,8825623140,522604
5565,Health Hub,1632448286,807739
8824,Holloway Pharmacy,9565799353,872204
1149,Modern Health,4161141437,564783
3799,Newday Drug Store,1592689613,445487
4866,Pacific Medical,3489412225,607681
5381,Pharma First,4400499274,582571
8265,Pharmacy Alliance,6259864476,578049
3673,Pharmacy Express,8124584856,657865
9387,Rocky’s Drug,3151378083,593171
1574,ScriptSite Specialty,9644595804,184250
7016,Southside Family Pharmacy,2867912270,616193
8442,Wellman’s Pharmacy,5118204667,533341
6931,Wellpharma,3632254659,534024
6194,Bartell Drugs,7197419840,516647
4905,Cedra Pharmacy,5583816559,497056
5605,Compass Health Care,6964849621,392443
1609,The Compounding Pharmacy,9484562937,443139
2640,Dutchtown Pharmacy,2188581550,569734
1204,Family Drug Mart,9334366945,573510
1293,Fry’s Pharmacy,2727171365,359348
9324,Geneva Woods,9970261420,170205
5658,Goodness,4516045509,719787
7182,Health Hexa Drugs,3077534489,893225
4636,Hometown Pharmacy Services,9135290562,103471
6018,Jack’s Discount Pharmacy,9568540253,101610
2426,Lifeshave Pharmacy,6145276020,980615
4827,Northwest Pharmacy,3745377265,390460
3536,Outpatient Pharmacy,3013025148,768349
1766,Pharma Best,1765030195,428026
4326,Pharmanic,8856289839,614073
8109,Premier Long Term Care Pharm,7351392322,537803
1396,Sand Point Pharmacy,1600147076,751573
9325,Sharp Specialty Pharmacy,1441182072,539227
7532,Sure Save,7721426213,307300
9790,Wellness Craft,9725940384,736568
4251,Sav-On,8952513543,455547
5058,Bio Scrip,9989268993,421146
7448,Central Drug Store,1024208084,812453
3469,Concord Pharmacy,4815606411,913058
3176,Essential Pharmacy,8713356915,312192
8718,Family Fare,1113555020,894401
4647,Goodstart,9517743319,895528
2593,Health Harvest,9846230650,549391
7683,Lifezest,4227640660,370264
6330,North East Pharmacy,4758023839,417115
2843,Pharma Street,8134846405,298195
7701,Protowell,9221045151,595277
8795,Rejuvva Drugs,3588953062,595766
8982,Roosevelt Clinic,2823787258,807113
5598,Southwest Pharmacy,4717388093,937936
5947,Union Center Pharmacy,3664909754,786236
5929,Alliance Community,9635448925,802914
